#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-05-10T14:51:25 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5eb813874d92 
#INFO -out.max=unlimited 
#INFO queryParameters=7 
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-source=J/ApJ/852/22/table7
#

#RESOURCE=yCat_18520022
#Name: J/ApJ/852/22
#Title: Ly{alpha} forest power spectrum at 1.8<=z<=3.4 (Walther+, 2018)
#Table J_ApJ_852_22_table7:
#Name: J/ApJ/852/22/table7
#Title: Correlation matrix for elements the measurement in Table 5
#---Details of Columns:
#    z        (F6.3)  [1.8/3.4] Redshift [ucd=src.redshift]
#    k (s/km) (E9.2)  [0.002/0.4] Mode [ucd=instr.scale]
#    R1_j     (E9.2)  [-0.22/1] Column 1 of the correlation matrix [ucd=stat.correlation]
#    R2_j     (E9.2)  [-0.19/1] Column 2 of the correlation matrix [ucd=stat.correlation]
#    R3_j     (E9.2)  [-0.2/1] Column 3 of the correlation matrix [ucd=stat.correlation]
#    R4_j     (E9.2)  [-0.2/1] Column 4 of the correlation matrix [ucd=stat.correlation]
#    R5_j     (E9.2)  [-0.21/1] Column 5 of the correlation matrix [ucd=stat.correlation]
#    R6_j     (E9.2)  [-0.22/1] Column 6 of the correlation matrix [ucd=stat.correlation]
#    R7_j     (E9.2)  [-0.18/1] Column 7 of the correlation matrix [ucd=stat.correlation]
#    R8_j     (E9.2)  [-0.16/1] Column 8 of the correlation matrix [ucd=stat.correlation]
#    R9_j     (E9.2)  [-0.15/1] Column 9 of the correlation matrix [ucd=stat.correlation]
#    R10_j    (E9.2)  [-0.13/1] Column 10 of the correlation matrix [ucd=stat.correlation]
#    R11_j    (E9.2)  [-0.13/1] Column 11 of the correlation matrix [ucd=stat.correlation]
#    R12_j    (E9.2)  [-0.14/1] Column 12 of the correlation matrix [ucd=stat.correlation]
#    R13_j    (E9.2)  [-0.18/1] Column 13 of the correlation matrix [ucd=stat.correlation]
#    R14_j    (E9.2)  [-0.19/1] Column 14 of the correlation matrix [ucd=stat.correlation]
#    R15_j    (E9.2)  [-0.17/1] Column 15 of the correlation matrix [ucd=stat.correlation]
#    R16_j    (E9.2)  [-0.20/1] Column 16 of the correlation matrix [ucd=stat.correlation]
#    R17_j    (E9.2)  [-0.22/1] Column 17 of the correlation matrix [ucd=stat.correlation]
#    R18_j    (E9.2)  [-0.22/1] Column 18 of the correlation matrix [ucd=stat.correlation]
#    R19_j    (E9.2)  [-0.2/1] Column 19 of the correlation matrix [ucd=stat.correlation]
#    R20_j    (E9.2)  [-0.14/1] Column 20 of the correlation matrix [ucd=stat.correlation]
#    R21_j    (E9.2)  [-0.1/1] Column 21 of the correlation matrix [ucd=stat.correlation]
#    R22_j    (E9.2)  [-0.09/1] Column 22 of the correlation matrix [ucd=stat.correlation]
#------ --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
#z      k (s/km)  R1_j      R2_j      R3_j      R4_j      R5_j      R6_j      R7_j      R8_j      R9_j      R10_j     R11_j     R12_j     R13_j     R14_j     R15_j     R16_j     R17_j     R18_j     R19_j     R20_j     R21_j     R22_j    
#------ --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
 1.800  2.86e-03  1.00e+00  2.59e-01  4.30e-01  3.73e-01  3.01e-01  4.40e-01  3.11e-01  3.15e-01  2.94e-01  2.53e-01  1.35e-01  2.03e-01  1.71e-01  6.14e-02  1.27e-01  1.55e-01  1.42e-01  1.54e-01  1.28e-01  1.04e-01  1.48e-01  1.78e-01
 1.800  3.54e-03  2.59e-01  1.00e+00  3.57e-01  4.20e-01  4.49e-01  3.30e-01  3.30e-01  2.58e-01  2.38e-01  2.38e-01  2.37e-01  1.82e-01  1.70e-01  1.53e-01  1.84e-01  1.96e-01  1.54e-01  1.56e-01  1.39e-01  1.12e-01  1.25e-01  2.05e-01
 1.800  4.46e-03  4.30e-01  3.57e-01  1.00e+00  4.20e-01  4.73e-01  3.91e-01  4.01e-01  3.52e-01  2.90e-01  2.22e-01  1.62e-01  1.92e-01  2.22e-01  1.17e-01  1.35e-01  1.02e-01  1.45e-01  1.11e-01  8.40e-02  7.80e-02  9.09e-02  1.28e-01
 1.800  5.72e-03  3.73e-01  4.20e-01  4.20e-01  1.00e+00  4.59e-01  4.52e-01  5.09e-01  3.59e-01  3.19e-01  2.93e-01  2.61e-01  2.38e-01  2.05e-01  1.72e-01  1.78e-01  1.49e-01  1.71e-01  1.35e-01  1.09e-01  9.64e-02  1.30e-01  1.81e-01
 1.800  7.19e-03  3.01e-01  4.49e-01  4.73e-01  4.59e-01  1.00e+00  4.32e-01  4.41e-01  4.15e-01  3.40e-01  3.13e-01  2.38e-01  2.21e-01  2.30e-01  1.30e-01  1.50e-01  1.72e-01  1.62e-01  1.46e-01  1.13e-01  7.98e-02  9.08e-02  1.69e-01
 1.800  8.97e-03  4.40e-01  3.30e-01  3.91e-01  4.52e-01  4.32e-01  1.00e+00  4.84e-01  4.60e-01  4.00e-01  3.32e-01  2.62e-01  2.65e-01  2.62e-01  1.95e-01  2.27e-01  2.26e-01  2.08e-01  2.04e-01  1.52e-01  1.16e-01  1.70e-01  2.35e-01
 1.800  1.13e-02  3.11e-01  3.30e-01  4.01e-01  5.09e-01  4.41e-01  4.84e-01  1.00e+00  5.09e-01  5.00e-01  3.67e-01  3.29e-01  3.36e-01  3.33e-01  2.60e-01  2.73e-01  2.34e-01  2.35e-01  2.04e-01  1.59e-01  1.25e-01  1.81e-01  2.15e-01
 1.800  1.43e-02  3.15e-01  2.58e-01  3.52e-01  3.59e-01  4.15e-01  4.60e-01  5.09e-01  1.00e+00  5.15e-01  4.26e-01  3.67e-01  3.37e-01  3.54e-01  2.68e-01  2.93e-01  2.25e-01  2.23e-01  1.86e-01  1.57e-01  1.27e-01  1.56e-01  1.95e-01
 1.800  1.79e-02  2.94e-01  2.38e-01  2.90e-01  3.19e-01  3.40e-01  4.00e-01  5.00e-01  5.15e-01  1.00e+00  5.56e-01  4.90e-01  4.16e-01  3.69e-01  3.20e-01  3.17e-01  2.87e-01  2.75e-01  2.32e-01  2.11e-01  1.79e-01  2.28e-01  2.48e-01
 1.800  2.25e-02  2.53e-01  2.38e-01  2.22e-01  2.93e-01  3.13e-01  3.32e-01  3.67e-01  4.26e-01  5.56e-01  1.00e+00  5.93e-01  4.81e-01  4.16e-01  3.61e-01  3.96e-01  3.41e-01  3.49e-01  2.75e-01  2.50e-01  2.01e-01  2.70e-01  2.96e-01
